family,query,is_knowable,expected_answer,response,mean_entropy,self_report_confidence,old_correct,new_correct,eval_method,changed
OLMo,What is the capital of France?,True,Paris,Paris.,0.3939810552013417,0.0,True,True,programmatic,False
OLMo,What is the capital of Japan?,True,Tokyo,Tokyo.,0.435453748315922,0.0,True,True,programmatic,False
OLMo,What is the capital of Australia?,True,Canberra,Canberra,0.4281179583049379,0.0,True,True,programmatic,False
OLMo,What is the capital of Canada?,True,Ottawa,Ottawa,0.2274342931850697,0.0,True,True,programmatic,False
OLMo,What is the capital of Germany?,True,Berlin,Berlin.,0.4331133578283091,0.0,True,True,programmatic,False
OLMo,What is the capital of Italy?,True,Rome,Rome.,0.2588022113777697,0.0,True,True,programmatic,False
OLMo,What is the capital of Brazil?,True,Brasilia,Brasília,0.3259442371781915,0.0,False,True,llm,True
OLMo,What is the capital of Egypt?,True,Cairo,Cairo.,0.3746723919466603,0.0,True,True,programmatic,False
OLMo,What is the capital of South Korea?,True,Seoul,Seoul,0.3984323677917321,0.0,True,True,programmatic,False
OLMo,What is the capital of Mexico?,True,Mexico City,The capital of Mexico is Mexico City.,0.0988434508327979,0.0,True,True,programmatic,False
OLMo,What is the largest ocean on Earth?,True,Pacific,The largest ocean on Earth is the Pacific Ocean.,0.0619300023508809,0.0,True,True,programmatic,False
OLMo,What continent is Brazil in?,True,South America,Brazil is in South America.,0.0981119000274962,0.0,True,True,programmatic,False
OLMo,What is the longest river in the world?,True,Nile,"The Nile River is generally considered the longest river in the world, with an estimated length of about 6,650 kilometers (4,130 miles). However, some sources cite the Amazon River as slightly longer, depending on the specific measurement of its most distant tributaries. Traditionally, the Nile holds the title.",0.4327555997666597,0.06,True,True,programmatic,False
OLMo,What is the largest desert on Earth?,True,Sahara,"The largest desert on Earth is the Antarctic Desert. Despite being covered in ice and snow, it receives very little precipitation, making it technically a desert. In terms of land area, it is larger than the Sahara Desert, which is often considered the largest hot desert.",0.4370466564684008,0.0,True,True,programmatic,False
OLMo,What is the smallest continent by area?,True,Australia,Australia is the smallest continent by area.,0.2417899204657361,0.0,True,True,programmatic,False
OLMo,What is the highest waterfall in the world?,True,Angel Falls,"The highest waterfall in the world is **Angel Falls** in Venezuela. It has a total drop of approximately **979 meters (3,212 feet)**.",0.3089041274994883,1.0,True,True,programmatic,False
OLMo,What country has the most people?,True,India,"As of 2024, the country with the most people is **China**, with a population of approximately 1.41 billion people. India is the second most populous country, with around 1.42 billion as of recent estimates, but depending on the exact timing and data sources, the ranking can fluctuate slightly. However, most recent projections still place China slightly ahead of India.",0.5769277352735082,1.0,True,True,programmatic,False
OLMo,What is the largest country by area?,True,Russia,Russia is the largest country by area.,0.2240983273428961,0.0,True,True,programmatic,False
OLMo,What ocean lies between Europe and North America?,True,Atlantic,The Atlantic Ocean lies between Europe and North America.,0.0638415862520725,0.0,True,True,programmatic,False
OLMo,On which continent is the Sahara Desert?,True,Africa,Africa,0.6948394775390625,0.0,True,True,programmatic,False
OLMo,What is the chemical formula for water?,True,H2O,The chemical formula for water is **H₂O**.,0.0881571139875981,0.0,False,True,programmatic,True
OLMo,What is the speed of light in a vacuum?,True,"300,000 km/s","The speed of light in a vacuum is approximately **299,792,458 meters per second** (m/s). This is often rounded to about **300,000 kilometers per second** or **186,282 miles per second**. It is also commonly expressed as **c**, the universal constant of light.",0.3929091149641188,1.0,False,True,llm,True
OLMo,What is the boiling point of water at sea level in Celsius?,True,100,The boiling point of water at sea level is **100°C**.,0.1427395898858018,1.0,True,True,programmatic,False
OLMo,What is the chemical symbol for gold?,True,Au,Au,0.0209294511005282,0.0,True,True,programmatic,False
OLMo,What is the atomic number of hydrogen?,True,1,The atomic number of hydrogen is **1**.,0.078008931686186,0.01,True,True,programmatic,False
OLMo,What is the chemical symbol for sodium?,True,Na,Na,0.1862455676309764,0.0,True,True,programmatic,False
OLMo,What is the atomic symbol for iron?,True,Fe,The atomic symbol for iron is **Fe**.,0.0491631296603455,0.0,True,True,programmatic,False
OLMo,What is the freezing point of water in Celsius?,True,0,The freezing point of water is **0°C**.,0.1773356733387459,0.0,True,True,programmatic,False
OLMo,What is the atomic number of carbon?,True,6,The atomic number of carbon is **6**.,0.0879249233599327,0.06,True,True,programmatic,False
OLMo,What planet is closest to the Sun?,True,Mercury,Mercury is the planet closest to the Sun.,0.1157960865731927,0.0,True,True,programmatic,False
OLMo,What is the largest planet in our solar system?,True,Jupiter,Jupiter is the largest planet in our solar system.,0.0872858431252249,0.0,True,True,programmatic,False
OLMo,How many chromosomes do humans have?,True,46,Humans have 46 chromosomes.,0.4266943199826138,0.46,True,True,programmatic,False
OLMo,What gas do plants absorb from the atmosphere?,True,carbon dioxide,Plants absorb carbon dioxide (CO₂) from the atmosphere during the process of photosynthesis.,0.092748520623968,0.0,True,True,programmatic,False
OLMo,What is the hardest natural substance?,True,diamond,"The hardest natural substance is **diamond**. 

Diamond is a form of carbon with a crystalline structure that gives it exceptional hardness and toughness. While other materials like **wurtzite boron nitride** or **lonsdaleite** (a hexagonal form of diamond found in meteorites) are sometimes considered harder on a theoretical scale, diamond is the hardest naturally occurring substance *on Earth* as it is widely available in nature.",0.823387881504589,0.0,True,True,programmatic,False
OLMo,What is the most abundant element in the universe?,True,hydrogen,The most abundant element in the universe is hydrogen.,0.1782782407160746,0.0,True,True,programmatic,False
OLMo,What type of animal is a dolphin?,True,mammal,"A dolphin is a mammal. More specifically, it is a marine mammal belonging to the family Delphinidae, which includes species such as the common dolphin, bottlenose dolphin, and orca (killer whale). Dolphins breathe air, give live birth, and nurse their young with milk, all characteristics of mammals.",0.3917628810366486,0.0,True,True,programmatic,False
OLMo,How many bones does an adult human have?,True,206,An adult human has **206 bones**.,0.1894279636093415,1.0,True,True,programmatic,False
OLMo,What is the pH of pure water?,True,7,"The pH of pure water at 25°C is **7.0**. This is because pure water autoionizes to an equal extent into hydrogen ions (H⁺) and hydroxide ions (OH⁻), resulting in a neutral solution.",0.3109786652517549,0.25,True,True,programmatic,False
OLMo,What is the powerhouse of the cell?,True,mitochondria,The powerhouse of the cell is the **mitochondrion**.,0.1261846271949508,0.0,False,True,programmatic,True
OLMo,What force keeps planets in orbit around the Sun?,True,gravity,Gravity keeps planets in orbit around the Sun.,0.2318695484058707,0.0,True,True,programmatic,False
OLMo,What year did World War II end?,True,1945,"World War II ended in **1945**. The formal surrender that marked the end of the war was the signing of the surrender documents in Tokyo Bay on **September 2, 1945**, by representatives of the Allied Powers and Japan. However, some conflicts associated with the end of the war, such as fighting in Germany and Korea, continued for a few more weeks.",0.6407763091331103,1.0,True,True,programmatic,False
OLMo,Who wrote Romeo and Juliet?,True,Shakespeare,"""Romeo and Juliet"" was written by William Shakespeare.",0.2253610143088248,0.0,True,True,programmatic,False
OLMo,Who painted the Mona Lisa?,True,Leonardo da Vinci,Leonardo da Vinci painted the Mona Lisa.,0.0876787917752153,0.0,True,True,programmatic,False
OLMo,Who wrote 1984?,True,George Orwell,George Orwell wrote *1984*.,0.3227944231113895,1.0,True,True,programmatic,False
OLMo,Who wrote Pride and Prejudice?,True,Jane Austen,Pride and Prejudice was written by Jane Austen.,0.1252347968803826,0.0,True,True,programmatic,False
OLMo,Who wrote The Great Gatsby?,True,F. Scott Fitzgerald,F. Scott Fitzgerald wrote *The Great Gatsby*.,0.0725562908770977,0.0,True,True,programmatic,False
OLMo,Who wrote Hamlet?,True,Shakespeare,William Shakespeare wrote *Hamlet*.,0.3697970026901203,0.0,True,True,programmatic,False
OLMo,Who wrote The Odyssey?,True,Homer,Homer wrote *The Odyssey*.,0.361361136963751,0.0,True,True,programmatic,False
OLMo,What year was the United Nations founded?,True,1945,The United Nations was founded in 1945.,0.0930792822509002,1.0,True,True,programmatic,False
OLMo,What year did the Berlin Wall fall?,True,1989,The Berlin Wall fell in 1989.,0.1406930444007685,1.0,True,True,programmatic,False
OLMo,Who was the first person to walk on the Moon?,True,Neil Armstrong,"Neil Armstrong was the first person to walk on the Moon. He made his historic first step on the lunar surface during the Apollo 11 mission on July 20, 1969.",0.2401799501717954,0.11,True,True,programmatic,False
OLMo,In what year did the Titanic sink?,True,1912,"The Titanic sank on April 15, 1912.",0.0418088731495082,0.15,True,True,programmatic,False
OLMo,What ancient wonder was located in Alexandria?,True,Lighthouse,"The ancient wonder located in Alexandria was the **Lighthouse of Alexandria**, also known as the **Cleopatra's Needle** (though this nickname comes from a later period). Originally called the **Pyradius** or **Hermes’ Tower**, it was one of the Seven Wonders of the Ancient World. Constructed in the 3rd century BCE, it stood over 300 feet tall and was an engineering marvel of its time.",0.9555526254745756,0.0,True,True,programmatic,False
OLMo,Who invented the telephone?,True,Alexander Graham Bell,The telephone was invented by Alexander Graham Bell. He was awarded the first US patent for the telephone in 1876.,0.3053854527391377,1.0,True,True,programmatic,False
OLMo,What empire built the Colosseum in Rome?,True,Roman,The Roman Empire built the Colosseum in Rome.,0.1412187681680034,0.0,True,True,programmatic,False
OLMo,What year did the American Civil War begin?,True,1861,The American Civil War began in **1861**.,0.0618736399903051,1.0,True,True,programmatic,False
OLMo,Who discovered penicillin?,True,Alexander Fleming,Penicillin was discovered by Scottish biologist Alexander Fleming in 1928.,0.2364321077259319,1.0,True,True,programmatic,False
OLMo,What document begins with 'We the People'?,True,Constitution,"The document that begins with ""We the People"" is the **United States Constitution**.",0.3347754549449746,0.0,True,True,programmatic,False
OLMo,In what city was the Declaration of Independence signed?,True,Philadelphia,Philadelphia,0.3401527926325798,0.0,True,True,programmatic,False
OLMo,What year did humans first land on the Moon?,True,1969,Humans first landed on the Moon in **1969**.,0.1884903099875233,1.0,True,True,programmatic,False
OLMo,What is 2 + 2?,True,4,2 + 2 = 4,0.0805844807474432,0.02,True,True,programmatic,False
OLMo,What is the square root of 144?,True,12,The square root of 144 is **12**.,0.1012558754476851,1.0,True,True,programmatic,False
OLMo,What is the value of pi to two decimal places?,True,3.14,The value of pi (π) to two decimal places is **3.14**.,0.1092497793517282,0.03,True,True,programmatic,False
OLMo,How many days are in a week?,True,7,There are 7 days in a week.,0.0871852558974524,0.07,True,True,programmatic,False
OLMo,What is the smallest prime number?,True,2,The smallest prime number is **2**.,0.0557304639471226,0.02,True,True,programmatic,False
OLMo,How many sides does a hexagon have?,True,6,A hexagon has **6 sides**.,0.0795184217455471,0.06,True,True,programmatic,False
